Grid size,A* Average time,A* Path Length,Greedy BFS Average time,Greedy BFS Path Length,Bi-BFS Average time,Bi-BFS Path Length
10,17,0.00042027999879792335,17,0.00029439000063575805,17,0.0002977700030896813
10,17,0.000352769996970892,17,0.000235989986686036,17,0.000271269993390888
10,17,0.0003938400070182979,17,0.00025959001504816115,17,0.000285059999441728
10,17,0.00034582000225782397,17,0.00022960999631322921,17,0.00028878998709842564
10,17,0.00034529000404290853,17,0.00017555999802425503,17,0.0002718300034757704
10,17,0.000278219988103956,17,0.00018768998561426997,17,0.00028437000582925975
10,17,0.0003808900073636323,17,0.000205179990734905,17,0.00027789000887423754
10,17,0.00034047000226564703,17,0.00019434000714682042,17,0.0002738800074439496
10,17,0.0003272899950388819,17,0.0002086500055156648,17,0.0002784900076221675
10,17,0.0003595599962864071,17,0.00025250999606214465,17,0.00027811999898403884
11,19,0.0003152300021611154,19,0.00020038000657223164,19,0.0003378700115717947
11,19,0.0004138400021474808,19,0.0002617300022393465,19,0.0003294199996162206
11,19,0.00042845000280067325,19,0.00031888000085018576,19,0.0003364499949384481
11,19,0.00041850999696180224,19,0.0002734700043220073,19,0.0003281000012066215
11,19,0.00040397999109700324,19,0.0001944500021636486,19,0.00035311999963596465
11,19,0.0005253999901469797,19,0.0002674799994565547,19,0.00034068998647853734
11,21,0.00040904000052250923,21,0.0002977100026328117,21,0.00033637000015005467
11,19,0.0004531800048425794,19,0.000326219986891374,19,0.00033767999848350884
11,19,0.00044584999559447167,19,0.00023136000381782651,19,0.0003191499796230346
11,19,0.000455630017677322,19,0.00031890999525785446,19,0.0003417500003706664
12,21,0.0004412100010085851,21,0.0003098500019405037,21,0.00039833999471738935
12,21,0.00039577999850735066,21,0.0002317400125321001,21,0.00042752998997457324
12,21,0.0005391100014094264,21,0.0003571300010662526,21,0.00039302000077441336
12,23,0.0004914000048302114,23,0.0003595499962102622,23,0.00035175999510101975
12,23,0.0004458300012629479,23,0.000296040007378906,23,0.0003817700024228543
12,23,0.0005259300000034272,23,0.0003143299836665392,23,0.0003859099990222603
12,21,0.0005084399948827922,21,0.00022892000270076097,21,0.0003877399896737188
12,23,0.0004516499931924045,23,0.00032910999725572766,23,0.0003694899962283671
12,21,0.00047354999696835876,21,0.0002369699941482395,21,0.0003755599958822131
12,21,0.0005220400053076446,21,0.00034085999359376726,21,0.00038626999594271183
13,23,0.0005191799951717258,23,0.00032463000388816,23,0.00047212999779731033
13,23,0.0005595000111497939,23,0.00030478000408038495,23,0.0004357300000265241
13,23,0.000602849997812882,23,0.0002210899954661727,23,0.00045111001236364245
13,23,0.0006150300032459199,23,0.0003571799898054451,23,0.0004427700012456626
13,25,0.0004963100131135434,25,0.00024566999636590483,25,0.0004499200149439275
13,23,0.00041145001305267217,23,0.00028893999988213184,23,0.00044236000976525245
13,23,0.00045948000042699276,23,0.00022352999658323825,23,0.00044965000124648214
13,23,0.0004189200117252767,23,0.0002428599866107106,23,0.0004410900000948459
13,23,0.0005376699904445559,23,0.0002977999916765839,23,0.00043706001015380024
13,23,0.0004567600088194013,23,0.00034385000471957026,23,0.000428469997132197
14,25,0.0005788000009488315,25,0.0003854600014165044,25,0.0005318299983628095
14,25,0.0005048800026997924,25,0.00021547999931499363,25,0.0005047199956607074
14,25,0.0006483999954070896,25,0.00027183000929653645,25,0.000512929999968037
14,25,0.0005352400010451674,25,0.00034881000756286084,25,0.0005107099947053939
14,27,0.0006556699925567954,27,0.00033989999792538583,27,0.0005070199898909777
14,25,0.0006320199812762439,25,0.000259259989252314,25,0.0005094300024211407
14,25,0.000572640000609681,25,0.00048012000042945145,25,0.000542300014058128
14,25,0.0006996399839408696,25,0.0002735600108280778,25,0.0005336500064004213
14,25,0.000564339995617047,25,0.00035043999669142066,25,0.000532350002322346
14,27,0.0006761400029063225,27,0.00045827999711036684,27,0.0005189799994695932
15,27,0.0007862800033763051,27,0.00031352999503724276,27,0.000619589997222647
15,27,0.00064598000026308,27,0.0002992000023368746,27,0.0006081100029405207
15,27,0.0006969400041271001,27,0.00032438000198453665,27,0.0006143399979919196
15,27,0.000793710007565096,27,0.000500179990194738,27,0.000588929996592924
15,27,0.0005462899978738278,27,0.0003261700039729476,27,0.0006042500026524067
15,27,0.0007507700065616518,27,0.0003815799951553345,27,0.0006217099900823087
15,29,0.0008941599866375327,29,0.0006085899949539453,29,0.0006186700076796115
15,27,0.0007165400020312518,27,0.000432780000846833,27,0.0005753199919126927
15,27,0.0006307699950411916,27,0.00039121000445447863,27,0.0006007299991324544
15,27,0.0006408300017938018,27,0.0003738800063729286,27,0.0005888899904675782
16,29,0.0005912499909754843,29,0.0003312899963930249,29,0.0006680799822788685
16,31,0.00079993000254035,31,0.00038443999364972113,31,0.0006441500096116215
16,29,0.0007793100085109472,29,0.000445390009554103,29,0.0006833900115452707
16,29,0.0008309799828566611,29,0.0005682199902366847,29,0.0006729800021275878
16,31,0.0006753300025593489,31,0.0004571700177621096,31,0.000654170016059652
16,29,0.0008315300045069307,29,0.0005784899927675724,29,0.0006676099845208227
16,31,0.0008420900034252554,31,0.00037456000573001804,31,0.0007106699922587723
16,29,0.000718419998884201,29,0.0005364999931771308,29,0.0006972099945414811
16,29,0.0007315899943932891,29,0.0004935399978421628,29,0.0006829199905041605
16,29,0.0007549699919763952,29,0.0004974499985110015,29,0.0007022100035101175
17,37,0.0010109599970746785,37,0.0006302800087723881,37,0.0007526499917730689
17,35,0.00111326000187546,35,0.0006601100030820817,35,0.0007835900061763823
