Grid size,A* Average time,A* Path Length,Greedy BFS Average time,Greedy BFS Path Length,Bi-BFS Average time,Bi-BFS Path Length
10,17,0.0005512000003363937,17,0.00019023000495508314,17,0.0004623000102583319
10,19,0.00038025000249035655,23,0.00023760998737998307,19,0.00036650001420639454
10,17,0.0004455299815163016,17,0.0001741600048262626,17,0.0004266200063284487
10,17,0.0006023499998264014,17,0.00019230999168939888,17,0.0004878700070548803
10,17,0.0005541999940760434,17,0.0002885200025048107,17,0.0004586400056723505
10,17,0.0005246000015176833,17,0.0003093800041824579,17,0.0004075999837368727
10,17,0.0004010199976619333,17,0.00016988999559544026,17,0.0004272199992556125
10,17,0.0005002399964723736,17,0.0001662700029555708,17,0.00038840000052005054
10,17,0.0005587599996943026,19,0.0001894300163257867,17,0.00047112000174820423
10,17,0.0005111900100018829,17,0.00019284000154584646,17,0.0004345000081229955
11,19,0.0005910800129640848,19,0.00019362000748515129,19,0.0005191999953240156
11,19,0.0005841199890710413,23,0.00022620998788625002,19,0.0005527700006496162
11,19,0.0005200599960517138,29,0.00033698998740874233,19,0.00046707998844794927
11,19,0.0007281099911779165,19,0.00019539999193511902,19,0.0005870799941476434
11,19,0.0006702299928292632,21,0.00023189999046735466,19,0.0006184299825690686
11,19,0.0007199199928436429,23,0.000239869998767972,19,0.0005384799907915295
11,19,0.0004654799937270582,21,0.0002079700119793415,19,0.0005328699888195842
11,19,0.0007011799898464233,19,0.00018602999625727534,19,0.0005426299991086126
11,19,0.0005110099969897419,21,0.00019584998954087497,19,0.000514259998453781
11,19,0.0005164199974387884,21,0.00019720999989658594,19,0.0005444199952762574
12,21,0.0005165100155863911,21,0.0002446700003929436,21,0.000618300010683015
12,21,0.0005636500020045788,31,0.00032930999877862633,21,0.0005951100029051304
12,21,0.0006355500023346395,21,0.00021052999654784798,21,0.0005170399963390082
12,21,0.0008068700088188052,23,0.00024169000680558385,21,0.0006592800084035844
12,25,0.0007440399960614741,29,0.00026279998710379007,25,0.0005807499983347952
12,23,0.000459310004953295,25,0.0002534900035243481,23,0.0006048100010957568
12,31,0.0008029499906115234,31,0.0005461400025524199,31,0.0006144099985249341
12,23,0.0006055100006051361,23,0.00023078000522218644,23,0.000587609998183325
12,21,0.0008221499912906439,27,0.0002800300077069551,21,0.0006662299972958862
12,21,0.0006157900032121688,21,0.00021215000306256114,21,0.0006481899996288121
13,23,0.0006785900273825973,23,0.0002734000096097589,23,0.0006966699962504208
13,23,0.0006598300009500235,23,0.00026481000240892173,23,0.0006023200054187328
13,23,0.0007968799967784434,25,0.0002677899901755154,23,0.0006880000000819564
13,23,0.000760209996951744,25,0.00024514999822713437,23,0.0007941900053992868
13,23,0.0007091500097885728,27,0.0002770199964288622,23,0.000746859988430515
13,23,0.0007621299941092729,23,0.0002313499921001494,23,0.0007278400007635355
13,23,0.000856809999095276,25,0.00026834000018425284,23,0.0006326699920464307
13,23,0.0006853099912405014,25,0.00027083999593742193,23,0.0007606000057421624
13,23,0.0006823600037023425,23,0.00024411000194959342,23,0.0007312900095712393
13,23,0.0004877900064457208,27,0.00022945000673644245,23,0.0006746199913322925
14,25,0.0008821899944450706,27,0.00027575999265536664,25,0.0009016599971801043
14,25,0.0008923899964429438,25,0.0002790399827063084,25,0.0008365600020624697
14,25,0.0007750099990516901,31,0.00031447999062947927,25,0.0008142399950884282
14,25,0.0008161399979144335,25,0.0002421999932266772,25,0.0008174999849870801
14,25,0.0009656300069764256,27,0.0003532300004735589,25,0.0007348400016780942
14,29,0.0006887199997436255,33,0.00032817000756040214,29,0.000656650005839765
14,25,0.0008895300037693232,25,0.00023966000881046057,25,0.0008151399902999401
14,25,0.0007124400057364255,29,0.00029814001172780993,25,0.0008633500023279339
14,25,0.0011643099947832524,29,0.0003763899905607104,25,0.000908550008898601
