Grid size,A* Average time,A* Path Length,Greedy BFS Average time,Greedy BFS Path Length,Bi-BFS Average time,Bi-BFS Path Length
10,21,0.0004733000067062676,21,0.0003327400132548064,21,0.0005254499963484704
10,17,0.0005496999947354198,17,0.00017672000685706735,17,0.0003784500004258007
10,17,0.00047609999310225246,17,0.00019745000172406436,17,0.0004005499999038875
10,17,0.0003062899922952056,17,0.00016057000611908735,17,0.0003260499972384423
10,17,0.0005471800046507269,17,0.00017489000456407666,17,0.0004490000021178275
10,17,0.00030335999908857045,17,0.00017515999497845768,17,0.0004191200074274093
10,17,0.00046536001609638334,17,0.00017541999113745987,17,0.0004859000036958605
10,17,0.0004960799997206777,29,0.00034171000588685275,17,0.0004003100038971752
10,17,0.00042972000082954767,17,0.00020194001263007522,17,0.0004294499987736344
10,17,0.0005150699929799884,19,0.00024039000854827463,17,0.00045795001205988227
11,19,0.00048442999832332134,19,0.00029209000058472157,19,0.0004631499934475869
11,19,0.0004321000014897436,27,0.00027390000177547337,19,0.0003745300055015832
11,23,0.0004286799870897084,25,0.00029311999678611756,23,0.00042639001039788125
11,19,0.0006167999876197427,23,0.00023037000210024416,19,0.00048148000496439636
11,19,0.0006935500074177981,19,0.00019651000038720668,19,0.0006047300004865975
11,19,0.0006040799955371768,19,0.00022867999505251645,19,0.0005582000070717186
11,19,0.0005260400066617876,23,0.0002168000035453588,19,0.0004894499958027154
11,19,0.0005562900041695684,19,0.00030193000566214323,19,0.0005632499989587814
11,19,0.00060685999924317,25,0.00027604000060819087,19,0.0005227199988439679
11,19,0.000548319990048185,21,0.00033375999773852525,19,0.000611739995656535
12,21,0.0005311699991580099,23,0.00023779000621289016,21,0.0005745400034356862
12,21,0.000469700014218688,21,0.00022684999858029186,21,0.0005804299900773913
12,21,0.0007394500076770783,23,0.00024372999905608594,21,0.0006371000083163381
12,21,0.0007828399888239801,23,0.00023311999975703657,21,0.000620940001681447
12,23,0.0006733300106134266,23,0.0002854399790521711,23,0.000568220007698983
12,21,0.0005550599948037416,21,0.0003092799917794764,21,0.000554890010971576
12,21,0.0006366200046613813,23,0.00022527999826706945,21,0.0005265600048005581
12,21,0.0006883200025185942,23,0.00024151999969035387,21,0.0005614099965896458
12,21,0.0004987499967683106,21,0.00022331998916342856,21,0.00044974000193178656
12,21,0.00042652999982237814,21,0.0002421900164335966,21,0.000533380004344508
13,23,0.0008053500088863075,27,0.000257339992094785,23,0.0007176199869718403
13,25,0.0008235200017224997,25,0.00045032999478280546,25,0.0006314099940937012
13,23,0.0004961700062267483,31,0.00030855000368319453,23,0.0007512399868573993
13,23,0.000639569986378774,25,0.0002247400116175413,23,0.0007148199831135571
13,23,0.0006487899925559759,23,0.0002811299986205995,23,0.0007113300089258701
13,23,0.0007855200092308223,23,0.0002444599987939,23,0.0007642799988389015
13,23,0.0008422000042628497,25,0.0002634299860801548,23,0.0007948200043756514
13,23,0.0009255799988750369,23,0.0003181000181939453,23,0.0007948499987833202
13,23,0.0007200300111435354,23,0.0003267899970524013,23,0.0006629200011957437
13,23,0.0007187399955000728,25,0.0002514499996323138,23,0.0006948400055989623
14,25,0.0009920899989083408,33,0.00035496000200510027,25,0.0008410100068431348
14,27,0.0011177900014445186,29,0.0003517099947202951,27,0.000886869995156303
14,27,0.0008338800049386919,27,0.0002693600079510361,27,0.000827040005242452
14,25,0.0009273600066080689,29,0.00029267999925650654,25,0.000891360006062314
14,25,0.0006824799987953156,33,0.0003941499977372587,25,0.0007948399987071752
14,25,0.0009204300004057586,25,0.0002498399990145117,25,0.0008154199924319983
14,25,0.0007038300100248307,25,0.0002538000058848411,25,0.0008917400031350553
14,25,0.0008377400110475719,27,0.0002593100070953369,25,0.0008122500032186509
14,25,0.0008199399977456779,25,0.000365649996092543,25,0.0007935800065752118
14,25,0.0008519099967088551,31,0.0003268999978899956,25,0.0007915600028354675
15,29,0.0010143299936316908,33,0.0003633599961176515,29,0.0009593800059519708
15,29,0.001127810002071783,31,0.00028929001418873666,29,0.0009064300218597054
15,27,0.0008133299939800054,33,0.00032431999570690093,27,0.0009065600053872914
15,27,0.0008032399986404925,33,0.0003406399977393448,27,0.0009713099978398531
15,27,0.0008459199976641685,31,0.0003274100017733872,27,0.0009443099959753453
15,27,0.0006301600020378828,27,0.0004386399989016354,27,0.0009654599998611957
15,27,0.0009828100155573338,27,0.00037557000177912414,27,0.0009923600067850203
15,27,0.0009515599987935275,29,0.0003274800023064017,27,0.0011067299987189473
15,27,0.0009117099980358034,29,0.0003018899878952652,27,0.0009464900009334088
15,27,0.0011349800042808056,35,0.00033603000338189304,27,0.0010035800049081444
16,29,0.0015695499954745174,31,0.0003764500026591122,29,0.0013354199996683746
16,31,0.0010212399996817113,31,0.00045355000183917583,31,0.0016471200040541589
16,33,0.0009917499904986472,35,0.00041024000965990127,33,0.0007515100121963769
16,29,0.001379970007110387,31,0.000296340009663254,29,0.0011456000036559999
16,29,0.0007939200033433736,29,0.00030916001414880154,29,0.0010027599928434938
16,29,0.0008606500050518662,35,0.00037514998693950475,29,0.0010498400020878761
16,29,0.0010566500131972134,29,0.0003880099975503981,29,0.0011512599769048393
16,29,0.0009241799998562783,29,0.0003028100123628974,29,0.001072819990804419
16,29,0.0008918000035919249,29,0.00032801999477669595,29,0.0010898999869823455
16,29,0.0010016700020059944,35,0.000346989999525249,29,0.0007803699991200119
17,31,0.000982599990675226,33,0.00031778999837115405,31,0.0011985299992375077
17,31,0.0016717099875677376,33,0.00041980999521911143,31,0.0014343900023959578
